geneName;entrezId;mirnaName;Interaction;evidencePMID
EGR1;1958;hsa-mir-24-2;1;20811575
EGR1;1958;hsa-mir-27a-3p;1;20811575
EGR1;1958;hsa-mir-30a-5p;1;20811575
EGR1;1958;hsa-mir-30c-1;1;20811575
EGR1;1958;hsa-mir-30c-2;1;20811575
EGR1;1958;hsa-mir-30e-5p;1;20811575
EGR1;1958;hsa-mir-32-5p;1;20811575
EGR1;1958;hsa-mir-335-5p;1;20811575
EGR1;1958;hsa-mir-455-5p;1;20811575
EGR1;1958;hsa-mir-596;1;20811575
EGR1;1958;hsa-mir-642a-5p;1;20811575
EGR1;1958;hsa-mir-92b-3p;1;20811575
EGR1;1958;hsa-mir-96-5p;1;20811575
EGR1;1958;hsa-mir-99b-5p;1;20811575
STAT3;6774;hsa-mir-21-5p;1;20797623
STAT3;6774;hsa-mir-181b-1;1;20797623
PDLIM7;9260;hsa-mir-10b-5p;1;20732742
TWIST1;7291;hsa-mir-10b-5p;1;20732742
GATA4;2626;hsa-mir-144-3p;1;20708014
GATA4;2626;hsa-mir-451a;1;20708014
NR1H4;9971;hsa-mir-34a-5p;1;20689156
RUNX2;860;hsa-mir-23a-3p;-1;20980664
RUNX2;860;hsa-mir-27a-3p;-1;20980664
RUNX2;860;hsa-mir-24-2;-1;20980664
CTCF;10664;hsa-mir-375;-1;20978187
IL2;3558;hsa-mir-182-5p;1;20935646
LIN28;79727;hsa-let-7a-5p;-1;20935637
LIN28;79727;hsa-let-7b-5p;-1;20935637
LIN28;79727;hsa-let-7c;-1;20935637
LIN28;79727;hsa-let-7d-5p;-1;20935637
LIN28;79727;hsa-let-7e-5p;-1;20935637
LIN28;79727;hsa-let-7f-5p;-1;20935637
LIN28;79727;hsa-let-7g-5p;-1;20935637
LIN28;79727;hsa-let-7i-5p;-1;20935637
CEBPA;1050;hsa-mir-34a-5p;1;20889924
TP53;7157;hsa-mir-34a-5p;1;20883704
MYC;4609;hsa-mir-17-5p;-1;20878079
MYC;4609;hsa-mir-20a-5p;-1;20878079
MYC;4609;hsa-mir-20b-5p;-1;20878079
MYC;4609;hsa-mir-106b-5p;-1;20878079
MYC;4609;hsa-mir-93-5p;-1;20878079
MYC;4609;hsa-mir-17-5p;1;20643754
CEBPA;1050;hsa-mir-29a-3p;1;20628397
CEBPA;1050;hsa-mir-29b-3p;1;20628397
CREB1;1385;hsa-mir-9-2;1;20624818
REST;5978;hsa-mir-9-2;1;20624818
BMP4;652;hsa-mir-205-5p;1;20621051
BMP4;652;hsa-mir-200a-3p;1;20621051
BMP4;652;hsa-mir-200b-3p;1;20621051
BMP4;652;hsa-mir-200c-3p;1;20621051
STAT3;6774;hsa-mir-21-5p;1;20546595
AKT1;207;hsa-mir-22-3p;1;20523723
TWIST1;7291;hsa-mir-200a-3p;-1;20473948
TWIST1;7291;hsa-mir-200b-3p;-1;20473948
TWIST1;7291;hsa-mir-200c-3p;-1;20473948
TWIST1;7291;hsa-mir-205-5p;-1;20473948
CDKN2A;1029;hsa-mir-410;1;21170085
POU5F1;5460;hsa-mir-302a-3p;1;21151097
POU5F1;5460;hsa-mir-302b-3p;1;21151097
POU5F1;5460;hsa-mir-302c-3p;1;21151097
POU5F1;5460;hsa-mir-302d-3p;1;21151097
AKT2;208;hsa-mir-22-3p;1;20523723
AKT3;10000;hsa-mir-22-3p;1;20523723
ERS1;2099;hsa-mir-363-3p;1;19706389
ERS1;2099;hsa-mir-92a-2;1;19706389
ERS1;2099;hsa-mir-19b-2;1;19706389
ERS1;2099;hsa-mir-20b-5p;1;19706389
ERS1;2099;hsa-mir-18b-5p;1;19706389
MYB;4602;hsa-mir-155-5p;1;21296997
p53;7157;hsa-mir-200c-3p;1;21336307
NFKB1;4790;hsa-mir-448;-1;20798686
LIN28B;389421;hsa-let-7a-5p;-1;21482675
LIN28B;389421;hsa-let-7b-5p;-1;21482675
LIN28B;389421;hsa-let-7c;-1;21482675
LIN28B;389421;hsa-let-7d-5p;-1;21482675
LIN28B;389421;hsa-let-7e-5p;-1;21482675
LIN28B;389421;hsa-let-7f-5p;-1;21482675
LIN28B;389421;hsa-let-7g-5p;-1;21482675
LIN28B;389421;hsa-let-7i-5p;-1;21482675
NFKB1;4790;hsa-mir-155-5p;1;18940871
SLUG;6591;hsa-mir-1;-1;22370643
SLUG;6591;hsa-mir-200a-3p;-1;22370643
SLUG;6591;hsa-mir-200b-3p;-1;22370643
SLUG;6591;hsa-mir-200c-3p;-1;22370643
NFKB1;4790;hsa-let-7a-3;1;22348059
ETS2;2114;hsa-mir-196b-5p;-1;22298639
NFKB1;4790;hsa-mir-34a-5p;1;22292433
AR;367;hsa-mir-216a-5p;1;22392644
STAT5;6777;hsa-mir-17-5p;1;22389215
STAT5;6777;hsa-mir-18a-5p;1;22389215
STAT5;6777;hsa-mir-19a-3p;1;22389215
STAT5;6777;hsa-mir-20a-5p;1;22389215
STAT5;6777;hsa-mir-19b-1;1;22389215
STAT5;6777;hsa-mir-92a-1;1;22389215
MYC;4609;hsa-let-7;-1;22388088
ZEB1;6935;hsa-let-7;-1;22388088
ZEB1;6935;hsa-mir-200c-3p;-1;22384255
EP300;2033;hsa-mir-200c-3p;-1;22384255
KAT2B;8850;hsa-mir-200c-3p;-1;22384255
ZEB1;6935;hsa-mir-141-3p;-1;22384255
EP300;2033;hsa-mir-141-3p;-1;22384255
KAT2B;8850;hsa-mir-141-3p;-1;22384255
MYCN;4613;hsa-mir-335-5p;-1;22382496
NFKB1;4790;hsa-mir-199a-2;-1;22359598
NFKB1;4790;hsa-mir-214-3p;-1;22359598
TP63;8626;hsa-mir-181a-5p;1;22356768
TP63;8626;hsa-mir-519a-3p;1;22356768
TP63;8626;hsa-mir-374a-5p;1;22356768
TP63;8626;hsa-mir-630;1;22356768
CEBPB;1051;hsa-mir-143-3p;1;22354042
NFKB1;4790;hsa-let-7b-5p;1;22348059
KLF2;10365;hsa-mir-143-3p;1;22327366
KLF2;10365;hsa-mir-145-5p;1;22327366
AP-1;3725;hsa-mir-21-5p;1;22322403
YY1;7528;hsa-mir-1;1;22319554
SIX1;6495;hsa-mir-200a-3p;-1;22286765
SIX1;6495;hsa-mir-200b-3p;-1;22286765
SIX1;6495;hsa-mir-200c-3p;-1;22286765
NFKB1;4790;hsa-mir-17-5p;-1;22286762
NFKB1;4790;hsa-mir-21-5p;-1;22286762
NFKB1;4790;hsa-mir-10b-5p;-1;22286762
NFKB1;4790;hsa-mir-9-5p;-1;22286762
TGFB1;7040;hsa-mir-192-5p;-1;22264233
TGFB1;7040;hsa-mir-194-5p;-1;22264233
TP53;7157;hsa-mir-192-5p;1;22264233
TP53;7157;hsa-mir-194-5p;1;22264233
HNF1A;6927;hsa-mir-192-5p;1;22264233
HNF1A;6927;hsa-mir-194-5p;1;22264233
TP53;7157;hsa-mir-519d;1;22262409
MYC;4609;hsa-mir-29b-3p;-1;22249264
ESR2;2100;hsa-mir-30a-5p;-1;22231442
ESR2;2100;hsa-mir-23b-3p;1;22231442
ESR2;2100;hsa-mir-27b-3p;1;22231442
ESR2;2100;hsa-mir-24-1;1;22231442
AP-1;3725;hsa-mir-29b-1;1;22226905
AP-1;3725;hsa-mir-29a-3p;1;22226905
TP53;7157;hsa-mir-34a-5p;1;22198213
MYOG;4656;hsa-mir-133a-1;1;22195016
MYOG;4656;hsa-mir-133a-2;1;22195016
MYOG;4656;hsa-mir-133b;1;22195016
NFKB1;4790;hsa-mir-224-5p;1;22178270
IRF1;3659;hsa-mir-155-5p;-1;22170100
POU2F1;5451;hsa-let-7g-5p;1;22135361
SNAI1;6615;hsa-mir-34a-5p;-1;22134354
SNAI1;6615;hsa-mir-34b-5p;-1;22134354
ZEB1;6935;hsa-mir-34a-5p;-1;22134354
ZEB1;6935;hsa-mir-34b-5p;-1;22134354
TLR2;7097;hsa-mir-125a-5p;1;22114673
NFKB3;5970;hsa-mir-155-5p;1;22114673
STAT3;6775;hsa-mir-125b-5p;1;22093834
TP73;7161;hsa-mir-143-3p;-1;22093444
TP73;7161;hsa-mir-145-5p;-1;22093444
DDX5;1655;hsa-mir-21-5p;1;22086602
DDX5;1655;hsa-mir-182-5p;1;22086602
SP1;6667;hsa-mir-34c-5p;1;22074923
SOX10;6663;hsa-mir-338-3p;1;22064487
SOX9;6662;hsa-mir-140-5p;1;22064487
sox9a;60641;hsa-mir-140-5p;1;22052544
STAT3;6775;hsa-mir-135b-5p;1;22042699
TP53;7157;hsa-mir-34a-5p;1;22020437
TP53;7157;hsa-mir-34b-5p;1;22020437
TP53;7157;hsa-mir-34c-5p;1;22020437
SMAD3;4088;hsa-mir-200a-3p;1;22020340
SMAD3;4088;hsa-mir-200b-3p;1;22020340
LEF1;51176;hsa-mir-371a-3p;1;22020335
CTNNB1;1499;hsa-mir-371a-3p;1;22020335
LEF1;51176;hsa-mir-372;1;22020335
CTNNB1;1499;hsa-mir-372;1;22020335
LEF1;51176;hsa-mir-373-3p;1;22020335
CTNNB1;1499;hsa-mir-373-3p;1;22020335
XBP1;7494;hsa-mir-346;1;22002058
TCF4;6925;hsa-mir-21-5p;1;21956205
MYC;4609;hsa-mir-26a-5p;-1;21941025
MYC;4609;hsa-mir-26b-5p;-1;21941025
TP53;7157;hsa-mir-34a-5p;1;21909380
MYC;4609;hsa-let-7a-1;-1;21903590
MYC;4609;hsa-let-7f-1;-1;21903590
MYC;4609;hsa-let-7d-5p;-1;21903590
CDX2;1045;hsa-mir-125b-5p;1;21903586
SPI1;6688;hsa-mir-17-5p;-1;21897363
SPI1;6688;hsa-mir-18a-5p;-1;21897363
SPI1;6688;hsa-mir-19a-3p;-1;21897363
SPI1;6688;hsa-mir-20a-5p;-1;21897363
SPI1;6688;hsa-mir-19b-1;-1;21897363
SPI1;6688;hsa-mir-92a-1;-1;21897363
CREB1;1385;hsa-mir-212-3p;1;21892154
CREB1;1385;hsa-mir-132-3p;1;21892154
FOXM1;2305;hsa-mir-135b-5p;1;21888875
SOX9;6662;hsa-mir-140-5p;1;21872590
CREB1;1385;hsa-mir-132-3p;1;21868695
FOSL1;8061;hsa-mir-221-3p;1;21868360
FOSL1;8061;hsa-mir-222-3p;1;21868360
E2F1;1869;hsa-mir-449a;1;21857159
E2F1;1869;hsa-mir-449b-5p;1;21857159
E2F1;1869;hsa-mir-449c-5p;1;21857159
ASH1L;55870;hsa-mir-375;1;21856745
FLI1;2313;hsa-let-7a-5p;1;21853155
HDAC4;9759;hsa-mir-200a-3p;1;21837748
KDM2A;22992;hsa-mir-101-3p;-1;21777817
EZH2;2146;hsa-mir-101-3p;-1;21777817
ETV5;2119;hsa-mir-21-5p;1;21768389
FOXP3;50943;hsa-mir-7-5p;1;21743493
FOXP3;50943;hsa-mir-155-5p;1;21743493
ETS1;2113;hsa-mir-146a-5p;1;21738483
SPI1;6688;hsa-mir-146a-5p;1;21730352
SPI1;6688;hsa-mir-342-3p;1;21730352
SPI1;6688;hsa-mir-338-3p;1;21730352
SPI1;6688;hsa-mir-155-5p;1;21730352
REL;5966;hsa-mir-21-5p;1;21730150
RELA;5970;hsa-mir-21-5p;1;21730150
STAT3;6775;hsa-mir-21-5p;-1;21715655
SMAD3;4088;hsa-mir-143-3p;1;21712382
SMAD3;4088;hsa-mir-145-5p;1;21712382
SMAD4;4089;hsa-mir-143-3p;1;21712382
SMAD4;4089;hsa-mir-145-5p;1;21712382
TCF4;6925;hsa-mir-181a-2;1;21711587
TCF4;6925;hsa-mir-181b-2;1;21711587
ETS1;2113;hsa-mir-222-3p;1;21711453
JAG1;182;hsa-mir-143-3p;1;21685392
JAG1;182;hsa-mir-145-5p;1;21685392
FOSL1;8061;hsa-mir-221-3p;1;21673316
TGFB1;7040;hsa-mir-143-3p;1;21673106
BMP4;652;hsa-mir-145-5p;1;21673106
MAX;4149;hsa-mir-193a-3p;-1;21670079
RXRA;6256;hsa-mir-193a-3p;-1;21670079
SP1;6667;hsa-mir-132-3p;1;21665894
HMGA1;3159;hsa-mir-222-3p;1;21656127
TWIST1;7291;hsa-mir-10b-5p;1;21642433
HIF1A;3091;hsa-mir-210;1;21555452
TP53;7157;hsa-mir-29;1;21522133
TP53;7157;hsa-mir-200a-3p;1;21518799
TP53;7157;hsa-mir-200b-3p;1;21518799
TP53;7157;hsa-mir-200c-3p;1;21518799
TP53;7157;hsa-mir-192-5p;1;21518799
SP1;6667;hsa-mir-365a-3p;1;21518763
NFKB1;4790;hsa-mir-365a-3p;1;21518763
E2F3;1871;hsa-mir-34a-5p;1;21516127
AP-1;3725;hsa-mir-155-5p;1;21515911
MYOD1;4654;hsa-mir-378a-5p;1;21471220
TCF3;6929;hsa-mir-451a;1;21464222
TCF3;6929;hsa-mir-709;1;21464222
MYB;4602;hsa-mir-148a-3p;-1;21455217
E2F1;1869;hsa-mir-15a-5p;1;21454377
E2F1;1869;hsa-mir-15b-5p;1;21454377
E2F1;1869;hsa-mir-16-1;1;21454377
E2F1;1869;hsa-mir-16-2;1;21454377
TP63;8626;hsa-mir-193a-3p;-1;21436470
TP73;7161;hsa-mir-193a-3p;1;21436470
GATA3;2625;hsa-mir-200a-3p;-1;21403400
GATA3;2625;hsa-mir-200b-3p;-1;21403400
GATA3;2625;hsa-mir-200c-3p;-1;21403400
GNRH1;2796;hsa-mir-132-3p;1;21372146
GNRH1;2796;hsa-mir-212-3p;1;21372146
CEBPA;1050;hsa-let-7a-2;1;21365266
RUNX2;860;hsa-mir-2861;1;21324897
RUNX2;860;hsa-mir-3960;1;21324897
MYC;4609;hsa-mir-145-5p;-1;-
MYC;4609;hsa-mir-193b-3p;1;-
MYC;4609;hsa-mir-222-3p;1;-
MYC;4609;hsa-mir-24-3p;-1;-
MYC;4609;hsa-mir-101-3p;1;-
MYC;4609;hsa-mir-25-3p;1;-
MYC;4609;hsa-mir-146a-5p;-1;-
MYC;4609;hsa-mir-150-5p;-1;-
MYC;4609;hsa-mir-30;1;-
MYC;4609;hsa-mir-98-5p;1;-
MYC;4609;hsa-mir-99a-5p;-1;-
